ID_Venta,ID_Cliente,Producto,Cantidad
1,1,Televisor,2
2,2, Celular ,1
3,3,Laptop,1
4,4,Tablet,2
5,5,Audífonos$,3
6,6,Monitor,1
7,7,Mouse,2
8,8,Teclado,1
9,9,Impresora,1
10,10,Smartwatch#,1
11,11,Televisor,2
12,12,Celular,1
13,13,Laptop,1
14,14,Tablet,2
15,15,Audífonos$,3
16,16,Monitor,1
17,17,Mouse,2
18,18,Teclado,1
19,19,Impresora,1
20,20,Smartwatch#,1
21,21,Televisor,2
22,22,Celular,1
23,23,Laptop,1
24,24,Tablet,2
25,25,Audífonos$,3
26,26,Monitor,1
27,27,Mouse,2
28,28,Teclado,1
29,29,Impresora,1
30,30,Smartwatch#,1
31,31,Televisor,2
32,32,Celular,1
33,33,Laptop,1
34,34,Tablet,2
35,35,Audífonos$,3
36,36,Monitor,1
37,37,Mouse,2
38,38,Teclado,1
39,39,Impresora,1
40,40,Smartwatch#,1
41,41,Televisor,2
42,42,Celular,1
43,43,Laptop,1
44,44,Tablet,2
45,45,Audífonos$,3
46,46,Monitor,1
47,47,Mouse,2
48,48,Teclado,1
49,49,Impresora,1
50,50,Smartwatch#,1
51,51,Televisor,2
52,52,Celular,1
53,53,Laptop,1
54,54,Tablet,2
55,55,Audífonos$,3
56,56,Monitor,1
57,57,Mouse,2
58,58,Teclado,1
59,59,Impresora,1
60,60,Smartwatch#,1
61,61,Televisor,2
62,62,Celular,1
63,63,Laptop,1
64,64,Tablet,2
65,65,Audífonos$,3
66,66,Monitor,1
67,67,Mouse,2
68,68,Teclado,1
69,69,Impresora,1
70,70,Smartwatch#,1
71,71,Televisor,2
72,72,Celular,1
73,73,Laptop,1
74,74,Tablet,2
75,75,Audífonos$,3
76,76,Monitor,1
77,77,Mouse,2
78,78,Teclado,1
79,79,Impresora,1
80,80,Smartwatch#,1
81,81,Televisor,2
82,82,Celular,1
83,83,Laptop,1
84,84,Tablet,2
85,85,Audífonos$,3
86,86,Monitor,1
87,87,Mouse,2
88,88,Teclado,1
89,89,Impresora,1
90,90,Smartwatch#,1
91,91,Televisor,2
92,92,Celular,1
93,93,Laptop,1
94,94,Tablet,2
95,95,Audífonos$,3
96,96,Monitor,1
97,97,Mouse,2
98,98,Teclado,1
99,99,Impresora,1
100,100,Smartwatch#,1
101,1,Televisor,2
102,2,Celular,1
103,3,Laptop,1
104,4,Tablet,2
105,5,Audífonos$,3
106,6,Monitor,1
107,7,Mouse,2
108,8,Teclado,1
109,9,Impresora,1
110,10,Smartwatch#,1
111,11,Televisor,2
112,12,Celular,1
113,13,Laptop,1
114,14,Tablet,2
115,15,Audífonos$,3
116,16,Monitor,1
117,17,Mouse,2
118,18,Teclado,1
119,19,Impresora,1
120,20,Smartwatch#,1
121,21,Televisor,2
122,22,Celular,1
123,23,Laptop,1
124,24,Tablet,2
125,25,Audífonos$,3
126,26,Monitor,1
127,27,Mouse,2
128,28,,1
129,29,Impresora,1
130,30,Smartwatch#,1
131,31,Televisor,2
132,32,Celular,1
133,33,Laptop,1
134,34,Tablet,2
135,35,Audífonos$,3
136,36,Monitor,1
137,37,Mouse,2
138,38,Teclado,1
139,39,Impresora,1
140,40,Smartwatch#,1
141,41,Televisor,2
142,42,Celular,1
143,43,Laptop,1
144,44,Tablet,2
145,45,Audífonos$,3
146,46,Monitor,1
147,47,Mouse,2
148,48,Teclado,1
149,49,Impresora,1
150,50,Smartwatch#,1
151,51,Televisor,2
152,52,Celular,1
153,53,Laptop,1
154,54,Tablet,2
155,55,Audífonos$,3
156,56,Monitor,1
157,57,Mouse,2
158,58,Teclado,1
159,59,Impresora,1
160,60,Smartwatch#,1
161,61,Televisor,2
162,62,Celular,1
163,63,Laptop,1
164,64,Tablet,2
165,65,Audífonos$,3
166,66,Monitor,1
167,67,Mouse,2
168,68,Teclado,1
169,69,Impresora,1
170,70,Smartwatch#,1
171,71,Televisor,2
172,72,Celular,1
173,73,Laptop,1
174,74,Tablet,2
175,75,Audífonos$,3
176,76,Monitor,1
177,77,Mouse,2
178,78,Teclado,1
179,79,Impresora,1
180,80,Smartwatch#,1
181,81,Televisor,2
182,82,Celular,1
183,83,Laptop,1
184,84,Tablet,2
185,85,Audífonos$,3
186,86,Monitor,1
187,87,Mouse,2
188,88,Teclado,1
189,89,Impresora,1
190,90,Smartwatch#,1
191,101,Televisor,2
192,102,Celular,1
193,103,Laptop,1
194,104,Tablet,2
195,105,Audífonos$,3
196,106,Monitor,1
197,107,Mouse,2
198,108,Teclado,1
199,109,Impresora,1
200,110,Smartwatch#,1
